2021-02-09 09:52:24,989 baseline INFO: Running with config:
baseline
2021-02-09 09:52:32,690 baseline.train INFO: start training
2021-02-09 13:24:33,028 baseline.train INFO: Epoch[2] Iteration[1650/3385] Loss: 0.225, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:26:23,997 baseline.train INFO: Epoch[2] Iteration[1700/3385] Loss: 0.225, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:28:20,326 baseline.train INFO: Epoch[2] Iteration[1750/3385] Loss: 0.224, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:30:14,261 baseline.train INFO: Epoch[2] Iteration[1800/3385] Loss: 0.225, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:32:07,719 baseline.train INFO: Epoch[2] Iteration[1850/3385] Loss: 0.225, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:33:57,496 baseline.train INFO: Epoch[2] Iteration[1900/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:35:48,814 baseline.train INFO: Epoch[2] Iteration[1950/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:37:44,607 baseline.train INFO: Epoch[2] Iteration[2000/3385] Loss: 0.225, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:39:38,703 baseline.train INFO: Epoch[2] Iteration[2050/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:41:39,103 baseline.train INFO: Epoch[2] Iteration[2100/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:43:31,323 baseline.train INFO: Epoch[2] Iteration[2150/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:45:27,001 baseline.train INFO: Epoch[2] Iteration[2200/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:47:20,975 baseline.train INFO: Epoch[2] Iteration[2250/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:49:15,922 baseline.train INFO: Epoch[2] Iteration[2300/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:51:04,934 baseline.train INFO: Epoch[2] Iteration[2350/3385] Loss: 0.224, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 13:53:00,004 baseline.train INFO: Epoch[2] Iteration[2400/3385] Loss: 0.223, Acc: 0.905, Base Lr: 7.28e-05
